action,scope,from,to,verdict,rationale,citation
merge,all,ʧ,t͡ʃ,NOTATION,IPA affricate ligature withdrawn from official IPA; identical referent. Only Kyrgyz corpus uses ligature style.,IPA Handbook (1999)
merge,all,ʤ,d͡ʒ,NOTATION,Same ligature issue as ʧ.,IPA Handbook (1999)
merge,all,ɾ,r,NOTATION,No Turkic language in the set contrasts tap vs trill; one rhotic phoneme with positional allophones. Turkish/Azerbaijani corpora wrote ɾ; Kazakh/Kyrgyz/Uyghur/Uzbek wrote r. Merged to majority symbol r.,"Zimmer & Orgun 1999 (tr tap); Mokari & Werner 2017 (az tap); McCollum & Chen 2021 (kk trill reducing to tap); Ido 2025 (uz tap, final trill)"
merge,tr,a,ɑ,MOSTLY-NOTATION,Turkish low vowel is acoustically central-to-back; JIPA writes /a/ by convention. All other languages incl. Finnish use ɑ for the cognate vowel. Small real fronting in Turkish accepted as loss.,Zimmer & Orgun 1999; Kopkallı-Yavuz acoustics; McCollum & Chen 2021
keep,uz,a,a,REAL,"Uzbek lost vowel harmony (Iranian contact); its a/ɔ low system is a different phonological object, not the front/back harmonic pair. Do NOT merge uz a with ɑ.",Ido 2025 (JIPA Illustration of Uzbek)
keep,uz,ɔ,ɔ,REAL,Uzbek orthographic o = /ɔ/ ranging [ɑ]~[ɔ̝]; phonemically distinct from a. Keep.,Ido 2025
keep,kk,ə,ə,REAL,Kazakh ы genuinely centralized to schwa-like [ə]; not a respelling of ɯ.,McCollum & Chen 2021 (JIPA Illustration of Kazakh)
keep,kk,ɪ,ɪ,REAL,Kazakh і = [ɪ]; genuine Kipchak high-vowel reduction.,McCollum & Chen 2021
keep,kk,ɵ,ɵ,REAL,Kazakh ө = [ɵ]; part of the same reduced system.,McCollum & Chen 2021
keep,kk+ky+ug+uz,q,q,REAL,Uvular stop is a genuine inventory feature absent in Turkish/Azerbaijani(written)/Finnish. Handled by assimilation table (q->k for tr listeners) not by merging.,McCollum & Chen 2021; loanword adaptation studies (Arabic loans in Turkish)
keep,az+ug+kk,æ,æ,REAL,Phonemic /ae/ in Azerbaijani (9-vowel) and Uyghur; true inventory difference vs Kyrgyz/Turkish.,Mokari & Werner 2017; McCollum 2021 (LabPhon)
keep,ky+ug,ː,ː,REAL,Kyrgyz has phonemic long vowels (historical contraction); Uzbek ː only in Arabo-Persian loans. Keep where produced.,Kyrgyz phonology lit.; Ido 2025
merge,ug,،,",",NOTATION,Arabic punctuation in Uyghur corpus; punctuation not phonology.,n/a
merge,ug,؟,?,NOTATION,Arabic question mark.,n/a
merge,ug,؛,;,NOTATION,Arabic semicolon.,n/a
merge,ug,ʔ,,DECIDED-ARTIFACT,"Uyghur corpus prefixes many words with ʔ (e.g. ʔbiri); pipeline-added initial glottal stop absent from every other corpus and from McCollum 2021 transcriptions -> systematically inflated Uyghur distances. Stripped. Reversible if team objects.",pipeline artifact; not in McCollum 2021
keep,uz,t͡ʃ,t͡ʃ,DECIDED-DOCUMENTED,"Ido 2025 transcribes Uzbek affricates as alveolo-palatal t͡ɕ/d͡ʑ/ɕ but notes [t͡ʃ]/[d͡ʒ]/[ʃ]-like realizations are common inter-/intra-speaker variants. Corpus t͡ʃ/ʃ convention kept as defensible; documented for methods section.",Ido 2025
